ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000CWS09Q9,EUR,12,195.49,USD,07/07/2026
L&G S&P 100 Equal Weight UCITS ETF,L&G,IE000YELA4E3,GBP,19,35.12,USD,07/07/2026
L&G S&P 100 Equal Weight UCITS ETF,L&G,IE000YELA4E3,USD,19,35.12,USD,07/07/2026
L&G S&P 100 Equal Weight UCITS ETF,L&G,IE000YELA4E3,EUR,19,35.12,USD,07/07/2026
L&G S&P 100 UCITS ETF,L&G,IE000MU0FDZ8,GBP,15,3.98,USD,07/07/2026
L&G S&P 100 UCITS ETF,L&G,IE000MU0FDZ8,USD,15,3.98,USD,07/07/2026
L&G S&P 100 UCITS ETF,L&G,IE000MU0FDZ8,EUR,15,3.98,USD,07/07/2026
L&G Global Quality Dividends UCITS ETF,L&G,IE0005AJA0P1,GBP,29,282.93,USD,07/07/2026
L&G Global Quality Dividends UCITS ETF,L&G,IE0005AJA0P1,USD,29,282.93,USD,07/07/2026
L&G Global Quality Dividends UCITS ETF,L&G,IE0005AJA0P1,EUR,29,282.93,USD,07/07/2026
L&G Global Quality Dividends UCITS ETF,L&G,IE000MRIQ479,GBP,29,282.93,USD,07/07/2026
L&G Global Quality Dividends UCITS ETF,L&G,IE000MRIQ479,USD,29,282.93,USD,07/07/2026
L&G Global Quality Dividends UCITS ETF,L&G,IE000MRIQ479,EUR,29,282.93,USD,07/07/2026
L&G Market Neutral Commodities UCITS ETF,L&G,IE000IIHLZL0,GBP,39,37.72,USD,07/07/2026
L&G Market Neutral Commodities UCITS ETF,L&G,IE000IIHLZL0,USD,39,37.72,USD,07/07/2026
L&G MSCI World Mid Cap UCITS ETF,L&G,IE000DPO6LM8,GBP,29,7.79,USD,07/07/2026
L&G MSCI World Mid Cap UCITS ETF,L&G,IE000DPO6LM8,USD,29,7.79,USD,07/07/2026
L&G MSCI World Mid Cap UCITS ETF,L&G,IE000DPO6LM8,EUR,29,7.79,USD,07/07/2026
